Customer,State,Customer Lifetime Value,Response,Coverage,Education,Effective To Date,EmploymentStatus,Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Policy,Renew Offer Type,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size
BU79786,Washington,2763.519279,No,Basic,Bachelor,2/24/2011,Employed,F,56274,Suburban,Married,69,32,5,0,1,Corporate Auto,Corporate L3,Offer1,Agent,384.81,Two-Door Car,Medsize
QZ44356,Arizona,6979.535903,No,Extended,Bachelor,1/31/2011,Unemployed,F,0,Suburban,Single,94,13,42,0,8,Personal Auto,Personal L3,Offer3,Agent,1131.46,Four-Door Car,Medsize
AI49188,Nevada,12887.43165,No,Premium,Bachelor,2/19/2011,Employed,F,48767,Suburban,Married,108,18,38,0,2,Personal Auto,Personal L3,Offer1,Agent,566.47,Two-Door Car,Medsize
WW63253,California,7645.861827,No,Basic,Bachelor,1/20/2011,Unemployed,M,0,Suburban,Married,106,18,65,0,7,Corporate Auto,Corporate L2,Offer1,Call Center,529.88,SUV,Medsize
HB64268,Washington,2813.692575,No,Basic,Bachelor,2/3/2011,Employed,M,43836,Rural,Single,73,12,44,0,1,Personal Auto,Personal L1,Offer1,Agent,138.13,Four-Door Car,Medsize
OC83172,Oregon,8256.2978,Yes,Basic,Bachelor,1/25/2011,Employed,F,62902,Rural,Married,69,14,94,0,2,Personal Auto,Personal L3,Offer2,Web,159.38,Two-Door Car,Medsize
XZ87318,Oregon,5380.898636,Yes,Basic,College,2/24/2011,Employed,F,55350,Suburban,Married,67,0,13,0,9,Corporate Auto,Corporate L3,Offer1,Agent,321.60,Four-Door Car,Medsize
CF85061,Arizona,7216.100311,No,Premium,Master,1/18/2011,Unemployed,M,0,Urban,Single,101,0,68,0,4,Corporate Auto,Corporate L3,Offer1,Agent,363.03,Four-Door Car,Medsize
DY87989,Oregon,24127.50402,Yes,Basic,Bachelor,1/26/2011,Medical Leave,M,14072,Suburban,Divorced,71,13,3,0,2,Corporate Auto,Corporate L3,Offer1,Agent,511.20,Four-Door Car,Medsize
BQ94931,Oregon,7388.178085,No,Extended,College,2/17/2011,Employed,F,28812,Urban,Married,93,17,7,0,8,Special Auto,Special L2,Offer2,Branch,425.53,Four-Door Car,Medsize
SX51350,California,4738.992022,No,Basic,College,2/21/2011,Unemployed,M,0,Suburban,Single,67,23,5,0,3,Personal Auto,Personal L3,Offer1,Agent,482.40,Four-Door Car,Small
VQ65197,California,8197.197078,No,Basic,College,1/6/2011,Unemployed,F,0,Suburban,Married,110,27,87,0,3,Personal Auto,Personal L3,Offer2,Agent,528.00,SUV,Medsize
DP39365,California,8798.797003,No,Premium,Master,2/6/2011,Employed,M,77026,Urban,Married,110,9,82,2,3,Corporate Auto,Corporate L1,Offer2,Agent,472.03,Four-Door Car,Medsize
SJ95423,Arizona,8819.018934,Yes,Basic,High School or Below,1/10/2011,Employed,M,99845,Suburban,Married,110,23,25,1,8,Corporate Auto,Corporate L3,Offer2,Branch,528.00,SUV,Medsize
IL66569,California,5384.431665,No,Basic,College,1/18/2011,Employed,M,83689,Urban,Single,70,21,10,2,8,Corporate Auto,Corporate L3,Offer4,Call Center,307.14,Four-Door Car,Medsize
BW63560,Oregon,7463.139377,No,Basic,Bachelor,1/17/2011,Employed,F,24599,Rural,Married,64,12,50,1,2,Corporate Auto,Corporate L2,Offer2,Branch,42.92,Four-Door Car,Medsize
FV94802,Nevada,2566.867823,No,Basic,High School or Below,2/6/2011,Medical Leave,M,25049,Suburban,Married,67,14,7,0,1,Personal Auto,Personal L3,Offer2,Call Center,454.25,Two-Door Car,Medsize
OE15005,California,3945.241604,No,Basic,College,1/5/2011,Medical Leave,M,28855,Suburban,Married,101,12,59,0,1,Personal Auto,Personal L2,Offer3,Call Center,647.44,SUV,Medsize
WC83389,Oregon,5710.333115,No,Basic,College,2/27/2011,Employed,M,51148,Urban,Married,72,9,1,0,7,Personal Auto,Personal L2,Offer2,Branch,308.98,Four-Door Car,Medsize
FL50705,California,8162.617053,No,Premium,High School or Below,1/14/2011,Employed,F,66140,Suburban,Married,101,11,21,0,3,Corporate Auto,Corporate L2,Offer1,Call Center,484.80,Four-Door Car,Small
ZK25313,Oregon,2872.051273,No,Basic,High School or Below,2/19/2011,Employed,M,57749,Suburban,Single,74,31,21,0,1,Personal Auto,Personal L2,Offer1,Branch,355.20,Two-Door Car,Medsize
SV62436,Washington,3041.791561,No,Extended,Bachelor,1/21/2011,Disabled,F,13789,Suburban,Divorced,79,8,49,0,1,Personal Auto,Personal L3,Offer4,Call Center,379.20,Four-Door Car,Medsize
YH23384,Arizona,24127.50402,Yes,Basic,Bachelor,1/26/2011,Medical Leave,M,14072,Suburban,Divorced,71,13,3,0,2,Personal Auto,Personal L3,Offer1,Agent,511.20,Four-Door Car,Medsize
TZ98966,Nevada,2450.190996,No,Basic,Bachelor,2/24/2011,Unemployed,F,0,Suburban,Single,73,4,44,3,1,Corporate Auto,Corporate L3,Offer1,Branch,554.38,Four-Door Car,Medsize
HM55802,California,2392.10789,No,Basic,Bachelor,2/5/2011,Disabled,F,17870,Suburban,Married,61,30,91,0,1,Corporate Auto,Corporate L2,Offer2,Branch,439.20,Four-Door Car,Medsize
FS42516,Oregon,5802.065978,No,Basic,College,1/29/2011,Employed,M,97541,Suburban,Married,72,22,1,0,3,Personal Auto,Personal L3,Offer2,Call Center,389.19,Four-Door Car,Large
US89481,California,3946.372085,No,Premium,Bachelor,2/28/2011,Unemployed,F,0,Suburban,Single,111,15,47,0,1,Personal Auto,Personal L3,Offer1,Agent,799.20,Four-Door Car,Small
HO30839,Washington,5346.916576,No,Extended,Master,2/12/2011,Disabled,F,10511,Urban,Married,139,33,64,0,1,Corporate Auto,Corporate L1,Offer1,Branch,516.24,SUV,Medsize
GE62437,Arizona,12902.56014,No,Premium,College,2/2/2011,Employed,F,86584,Suburban,Single,111,33,54,2,2,Personal Auto,Personal L3,Offer1,Call Center,532.80,Four-Door Car,Large
EJ77678,Oregon,3235.360468,No,Extended,Master,2/7/2011,Employed,F,75690,Suburban,Married,80,17,44,1,1,Personal Auto,Personal L3,Offer2,Branch,384.00,Four-Door Car,Small
SV85652,Arizona,2454.58354,No,Basic,College,2/28/2011,Employed,M,23158,Suburban,Married,63,4,6,1,1,Personal Auto,Personal L2,Offer4,Call Center,322.29,Four-Door Car,Small
UL64533,Nevada,18975.45611,No,Extended,High School or Below,1/22/2011,Employed,M,65999,Urban,Married,237,1,14,0,6,Corporate Auto,Corporate L2,Offer2,Agent,615.93,Luxury SUV,Medsize
PF41800,California,4715.321344,No,Basic,Bachelor,1/25/2011,Unemployed,M,0,Urban,Married,65,19,56,0,3,Personal Auto,Personal L3,Offer1,Call Center,308.15,Four-Door Car,Medsize
AO98601,Washington,5018.885233,No,Basic,Bachelor,1/18/2011,Employed,M,54500,Suburban,Married,63,28,17,0,6,Corporate Auto,Corporate L2,Offer1,Agent,302.40,Two-Door Car,Small
SK67821,Oregon,4932.916345,No,Basic,Bachelor,2/13/2011,Employed,F,37260,Rural,Married,62,19,42,0,8,Corporate Auto,Corporate L1,Offer3,Web,15.44,Four-Door Car,Medsize
